Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-12-01 08:09:02,false,"New York Running","3.01","282","00:27:52","158","180","3.1","175","180","9:15","8:39","54","60","0.99","0.0","0.0","0.0","0.0","0.0","27:52","0:00","0.0","0:00","No","00:05.13","4","0.0"
Running,2020-11-28 09:40:13,false,"Cobb County Running","5.01","523","00:48:46","168","192","4.2","173","179","9:45","8:59","16","12","0.96","0.0","0.0","0.0","0.0","0.0","48:46","0:00","0.0","0:00","No","00:02.88","6","0.0"
Running,2020-11-26 09:40:27,false,"Cobb County Running","3.15","352","00:34:04","159","178","3.4","166","190","10:48","8:19","9","7","0.90","0.0","0.0","0.0","0.0","0.0","34:04","0:00","0.0","0:00","No","01:19.79","4","0.0"
Running,2020-11-25 08:10:31,false,"Cobb County Running","3.17","338","00:30:02","172","192","3.8","172","180","9:29","8:54","29","30","0.99","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","01:37.11","4","0.0"
Running,2020-11-23 08:08:53,false,"Cobb County Running","4.01","440","00:38:33","171","191","4.0","173","178","9:36","8:56","66","64","0.97","0.0","0.0","0.0","0.0","0.0","38:33","0:00","0.0","0:00","No","00:07.14","5","0.0"
Running,2020-11-19 08:09:28,false,"New York Running","3.24","335","00:30:02","165","184","3.5","171","182","9:16","7:58","29","52","1.01","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","02:22.86","4","0.0"
Running,2020-11-17 08:11:56,false,"New York Running","4.25","443","00:40:09","165","196","3.9","171","180","9:26","8:29","42","65","1.00","0.0","0.0","0.0","0.0","0.0","40:09","0:00","0.0","0:00","No","02:23.61","5","0.0"
Running,2020-11-15 08:37:18,false,"New York Running","4.00","406","00:36:39","166","177","3.8","172","180","9:09","8:24","65","70","1.02","0.0","0.0","0.0","0.0","0.0","36:39","0:00","0.0","0:00","No","00:02.40","5","0.0"
Running,2020-11-13 08:13:38,false,"New York Running","3.30","345","00:30:07","169","184","3.6","173","237","9:08","8:14","57","61","1.02","0.0","0.0","0.0","0.0","0.0","30:07","0:00","0.0","0:00","No","02:56.08","4","0.0"
Running,2020-11-05 09:17:19,false,"New York Running","2.42","234","00:22:27","156","171","2.9","171","178","9:16","8:06","38","51","1.01","0.0","0.0","0.0","0.0","0.0","22:27","0:00","0.0","0:00","No","03:58.56","3","0.0"
Running,2020-11-03 12:57:55,false,"New York Running","4.37","441","00:40:08","165","179","3.7","171","176","9:11","8:11","33","56","1.02","0.0","0.0","0.0","0.0","0.0","40:08","0:00","0.0","0:00","No","03:09.47","5","0.0"
Running,2020-11-01 11:21:10,false,"New York Running","3.80","400","00:35:03","169","196","3.8","172","180","9:14","7:58","35","58","1.01","0.0","0.0","0.0","0.0","0.0","35:03","0:00","0.0","0:00","No","07:25.87","4","0.0"
Running,2020-10-27 10:22:51,false,"New York Running","3.23","322","00:30:03","160","184","3.2","171","178","9:18","8:35","34","57","1.01","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","02:03.93","4","0.0"
Running,2020-10-25 10:42:12,false,"New York Running","4.33","427","00:40:03","162","176","3.6","171","179","9:15","8:30","42","68","1.02","0.0","0.0","0.0","0.0","0.0","40:03","0:00","0.0","0:00","No","02:55.45","5","0.0"
Running,2020-10-23 08:28:17,false,"Peters Running","3.58","358","00:35:03","154","171","3.2","169","175","9:47","8:49","138","142","0.97","0.0","0.0","0.0","0.0","0.0","35:03","0:00","0.0","0:00","No","05:37.81","4","0.0"
Running,2020-10-21 11:06:13,false,"Bethel Park Running","3.15","340","00:30:02","167","193","3.4","169","175","9:33","8:52","224","221","1.00","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","01:23.72","4","0.0"
Running,2020-10-19 09:39:07,false,"New York Running","3.82","386","00:35:02","162","182","3.6","171","180","9:10","8:04","45","55","1.03","0.0","0.0","0.0","0.0","0.0","35:02","0:00","0.0","0:00","No","07:38.32","4","0.0"
Running,2020-10-17 08:08:28,false,"New York Running","3.27","328","00:30:01","162","183","3.4","173","186","9:11","8:41","50","61","1.01","0.0","0.0","0.0","0.0","0.0","30:01","0:00","0.0","0:00","No","02:35.04","4","0.0"
Running,2020-10-15 09:31:26,false,"New York Running","2.76","278","00:25:03","165","191","3.3","172","179","9:04","8:09","4","33","1.03","0.0","0.0","0.0","0.0","0.0","25:03","0:00","0.0","0:00","No","06:57.42","3","0.0"
Running,2020-10-13 09:50:29,false,"New York Running","3.29","324","00:30:02","161","180","3.3","172","186","9:08","8:14","57","61","1.02","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","02:43.54","4","0.0"
Running,2020-10-11 08:41:45,false,"New York Running","3.16","332","00:29:53","162","183","3.5","167","175","9:26","8:51","54","66","1.02","0.0","0.0","0.0","0.0","0.0","29:53","0:00","0.0","0:00","No","01:36.60","4","0.0"
